datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,99.33,99.66,98.76,99.26,4608000,WEC,WEC Energy Group
2025-01-30,98.98,99.73,98.67,99.45,2007000,WEC,WEC Energy Group
2025-01-29,98.9,99.71,97.9,98.029999,2358400,WEC,WEC Energy Group
2025-01-28,100.51,100.74,98.58,98.92,2854900,WEC,WEC Energy Group
2025-01-27,98.95,100.98,97.49,100.88,2826700,WEC,WEC Energy Group
2025-01-24,96.87,98.37,96.74,98.010002,1898100,WEC,WEC Energy Group
2025-01-23,97.91,98.099998,97.26,97.31,1771300,WEC,WEC Energy Group
2025-01-22,99.99,99.99,97.54,97.58,1958800,WEC,WEC Energy Group
2025-01-21,99.6,100.83,99.45,100.23,2205200,WEC,WEC Energy Group
2025-01-17,98.15,99.63,97.88,99.029999,2024200,WEC,WEC Energy Group
2025-01-16,95.15,98.49,95.15,98.39,1646900,WEC,WEC Energy Group
2025-01-15,95.68,96.18,94.93,95.57,1418900,WEC,WEC Energy Group
2025-01-14,93.82,95.089996,93.68,94.58,1934300,WEC,WEC Energy Group
2025-01-13,93.66,93.93,92.85,93.89,1668700,WEC,WEC Energy Group
2025-01-10,93.89,94.64,93.32,93.41,2397700,WEC,WEC Energy Group
2025-01-08,93.059998,94.82,92.88,94.75,2033100,WEC,WEC Energy Group
2025-01-07,92.2,94.25,91.94,93.19,2367500,WEC,WEC Energy Group
2025-01-06,93.5,93.61,91.94,92.12,1632600,WEC,WEC Energy Group
2025-01-03,94.040001,94.65,93.7,93.79,1522800,WEC,WEC Energy Group
2025-01-02,95.2,95.24,93.86,93.99,955900,WEC,WEC Energy Group
2024-12-31,94.21,94.69,93.47,94.040001,1087200,WEC,WEC Energy Group
2024-12-30,94.5,94.54,93.64,94.21,1056800,WEC,WEC Energy Group
2024-12-27,94.18,95.5,94.080002,94.82,823100,WEC,WEC Energy Group
2024-12-26,94.73,95.31,94.43,94.87,774500,WEC,WEC Energy Group
2024-12-24,94.71,95.13,94.25,95.040001,533300,WEC,WEC Energy Group
2024-12-23,94.5,94.86,93.56,94.84,1083000,WEC,WEC Energy Group
2024-12-20,92.88,94.69,92.85,94.5,3160400,WEC,WEC Energy Group
2024-12-19,93.099998,94.46,92.52,93.26,2143800,WEC,WEC Energy Group
2024-12-18,94.63,94.86,92.89,92.94,1506000,WEC,WEC Energy Group
2024-12-17,94.24,95.75,93.95,94.71,1597500,WEC,WEC Energy Group
2024-12-16,95.59,95.84,94.92,94.93,2399300,WEC,WEC Energy Group
