datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,56.59,56.82,55.25,55.43,7581300,WMB,Williams Companies
2025-01-30,55.96,56.83,55.77,56.59,6501500,WMB,Williams Companies
2025-01-29,55.21,56.35,54.85,55.33,7162400,WMB,Williams Companies
2025-01-28,54.95,55.39,53.040001,55.2,9580300,WMB,Williams Companies
2025-01-27,57.85,57.87,53.36,54.55,18513300,WMB,Williams Companies
2025-01-24,59.49,60.0,59.27,59.57,4653600,WMB,Williams Companies
2025-01-23,59.66,59.72,58.55,59.49,5686400,WMB,Williams Companies
2025-01-22,61.2,61.46,59.13,59.2,8795900,WMB,Williams Companies
2025-01-21,59.33,60.91,59.14,60.63,8577600,WMB,Williams Companies
2025-01-17,59.07,59.6,58.65,59.14,8348000,WMB,Williams Companies
2025-01-16,58.14,59.22,57.9,59.18,7016100,WMB,Williams Companies
2025-01-15,58.89,59.3,57.7,58.0099983,8115500,WMB,Williams Companies
2025-01-14,56.19,58.39,56.11,58.060001,9839500,WMB,Williams Companies
2025-01-13,55.57,56.17,55.48,56.029999,8612100,WMB,Williams Companies
2025-01-10,56.44,57.0,55.38,55.52,6336300,WMB,Williams Companies
2025-01-08,55.47,56.43,55.26,56.39,5986800,WMB,Williams Companies
2025-01-07,55.96,56.080002,55.26,55.55,5256900,WMB,Williams Companies
2025-01-06,57.02,57.25,55.64,55.81,6093400,WMB,Williams Companies
2025-01-03,56.24,56.89,55.96,56.6,6383700,WMB,Williams Companies
2025-01-02,54.5,55.96,54.31,55.88,5906100,WMB,Williams Companies
2024-12-31,54.29,54.57,54.0,54.12,3821200,WMB,Williams Companies
2024-12-30,53.84,54.57,53.23,54.16,4350800,WMB,Williams Companies
2024-12-27,53.78,54.3,53.64,53.94,3677300,WMB,Williams Companies
2024-12-26,54.64,54.64,53.7,53.96,3230600,WMB,Williams Companies
2024-12-24,54.36,54.6,53.97,54.6,2070900,WMB,Williams Companies
2024-12-23,53.35,54.11,52.73,54.049999,6356400,WMB,Williams Companies
2024-12-20,52.48,53.66,52.34,53.49,16843400,WMB,Williams Companies
2024-12-19,52.71,52.98,51.89,52.57,8455500,WMB,Williams Companies
2024-12-18,53.47,53.81,51.94,52.0099983,8961900,WMB,Williams Companies
2024-12-17,53.64,53.81,52.8,53.69,7504000,WMB,Williams Companies
2024-12-16,54.4,54.42,53.69,53.97,7352800,WMB,Williams Companies
2024-12-13,54.88,54.88,54.14,54.43,7224200,WMB,Williams Companies
2024-12-12,55.69,55.73,54.88,55.19,8321200,WMB,Williams Companies
2024-12-11,54.82,56.060001,54.61,55.39,7856100,WMB,Williams Companies
2024-12-10,55.26,55.56,54.4,54.55,8270900,WMB,Williams Companies
2024-12-09,56.92,57.0,54.56,54.67,8365100,WMB,Williams Companies
2024-12-06,57.049999,57.42,56.47,56.85,8371400,WMB,Williams Companies
2024-12-05,56.34,57.8,56.34,57.16,7330400,WMB,Williams Companies
2024-12-04,56.44,56.6,55.52,56.3,7847400,WMB,Williams Companies
2024-12-03,56.7,56.91,56.2,56.6,6948100,WMB,Williams Companies
2024-12-02,58.6,58.69,56.29,56.45,7952300,WMB,Williams Companies
2024-12-01,58.6,58.685,56.29,56.45,7952298,WMB,Williams Companies
2024-11-29,58.35,58.89,58.29,58.52,3638500,WMB,Williams Companies
2024-11-28,58.35,58.885,58.285,58.52,3638531,WMB,Williams Companies
2024-11-27,58.029999,58.34,57.84,58.14,5547500,WMB,Williams Companies
2024-11-26,58.33,58.68,58.0099983,58.37,7363000,WMB,Williams Companies
2024-11-25,58.33,58.675,58.0099983,58.37,7363123,WMB,Williams Companies
2024-11-22,59.76,60.36,59.52,59.65,6594700,WMB,Williams Companies
2024-11-21,58.7,60.049999,58.52,59.74,5397000,WMB,Williams Companies
2024-11-20,58.8,59.17,58.36,58.7,6926800,WMB,Williams Companies
2024-11-19,57.64,58.7,57.54,58.6,6664200,WMB,Williams Companies
2024-11-18,56.91,58.11,56.65,57.86,8605100,WMB,Williams Companies
2024-11-15,55.53,56.69,55.2,56.55,7461800,WMB,Williams Companies
2024-11-14,55.73,56.12,55.35,55.58,6026500,WMB,Williams Companies
2024-11-13,57.040001,57.099998,55.42,55.6,6133300,WMB,Williams Companies
