datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,99.0,99.0,97.7,98.16,16413900,WMT,Walmart
2025-01-30,97.69,98.93,97.42,98.65,11012200,WMT,Walmart
2025-01-29,97.43,98.17,97.22,97.5,11261400,WMT,Walmart
2025-01-28,97.23,97.84,96.73,97.29,14641600,WMT,Walmart
2025-01-27,95.9,97.46,94.82,97.4,18880600,WMT,Walmart
2025-01-24,93.54,95.010002,93.46,94.76,14973800,WMT,Walmart
2025-01-23,92.96,93.81,92.32,93.81,14198400,WMT,Walmart
2025-01-22,93.77,94.0,92.52,93.23,15567100,WMT,Walmart
2025-01-21,92.48,94.24,92.31,93.080002,23247500,WMT,Walmart
2025-01-17,92.07,92.26,91.050003,91.94,15868200,WMT,Walmart
2025-01-16,91.5,91.72,90.12,91.3,13267700,WMT,Walmart
2025-01-15,91.07,91.73,90.81,91.34,17348200,WMT,Walmart
2025-01-14,91.86,91.98,90.57,90.79,13549200,WMT,Walmart
2025-01-13,92.12,92.43,91.099998,91.53,18617100,WMT,Walmart
2025-01-10,92.49,93.58,92.2,93.0,18140900,WMT,Walmart
2025-01-08,91.11,91.85,90.82,91.8,13453600,WMT,Walmart
2025-01-07,91.7,91.94,90.45,90.81,11238000,WMT,Walmart
2025-01-06,90.83,92.47,90.67,91.43,14519900,WMT,Walmart
2025-01-03,90.15,91.3,90.14,90.78,10834600,WMT,Walmart
2025-01-02,89.98,90.6,89.52,90.0,14820400,WMT,Walmart
2024-12-31,90.57,90.94,90.059998,90.35,11267700,WMT,Walmart
2024-12-30,90.73,91.07,90.13,90.57,9790200,WMT,Walmart
2024-12-27,92.13,92.35,91.029999,91.66,11384400,WMT,Walmart
2024-12-26,92.54,92.88,92.17,92.79,10994000,WMT,Walmart
2024-12-24,90.37,92.68,90.35,92.68,8992400,WMT,Walmart
2024-12-23,91.5,91.5,88.91,90.35,26205400,WMT,Walmart
2024-12-20,93.010002,93.75,91.63,92.24,49350600,WMT,Walmart
2024-12-19,94.48,94.57,93.36,93.4,16606500,WMT,Walmart
2024-12-18,95.34,95.9,93.13,93.55,24665600,WMT,Walmart
2024-12-17,95.14,95.49,94.32,95.42,23560800,WMT,Walmart
2024-12-16,94.42,95.71,94.099998,94.87,16742000,WMT,Walmart
2024-12-13,93.8,94.68,93.040001,94.25,11495900,WMT,Walmart
2024-12-12,95.68,95.72,94.089996,94.089996,14298600,WMT,Walmart
