datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,89.6,89.61,85.82,86.85,3614900,WYNN,Wynn Resorts
2025-01-30,87.15,89.75,86.72,89.6,2789700,WYNN,Wynn Resorts
2025-01-29,84.78,85.57,84.029999,84.11,1559800,WYNN,Wynn Resorts
2025-01-28,84.48,84.95,82.8,84.33,1919200,WYNN,Wynn Resorts
2025-01-27,84.39,85.51,84.059998,84.77,2268100,WYNN,Wynn Resorts
2025-01-24,85.019997,85.65,84.36,84.99,1418400,WYNN,Wynn Resorts
2025-01-23,85.0,85.87,84.38,85.080002,1746100,WYNN,Wynn Resorts
2025-01-22,85.75,87.3,84.32,85.16,2862600,WYNN,Wynn Resorts
2025-01-21,85.24,86.72,85.19,86.26,2617200,WYNN,Wynn Resorts
2025-01-17,83.25,85.2,83.0,84.67,3339700,WYNN,Wynn Resorts
2025-01-16,82.78,83.23,81.76,82.5,1844800,WYNN,Wynn Resorts
2025-01-15,82.53,83.59,82.2,82.41,2264200,WYNN,Wynn Resorts
2025-01-14,81.58,81.88,79.9,81.8,2773800,WYNN,Wynn Resorts
2025-01-13,80.78,82.6,80.75,81.33,1850500,WYNN,Wynn Resorts
2025-01-10,80.12,83.080002,80.12,81.15,2655900,WYNN,Wynn Resorts
2025-01-08,82.0,82.39,80.7,81.17,1862300,WYNN,Wynn Resorts
2025-01-07,84.61,85.56,81.94,82.45,2195300,WYNN,Wynn Resorts
2025-01-06,84.25,86.27,84.14,84.61,2923500,WYNN,Wynn Resorts
2025-01-03,84.5,86.010002,82.85,83.32,2805900,WYNN,Wynn Resorts
2025-01-02,86.33,87.38,83.73,83.8,2001600,WYNN,Wynn Resorts
2024-12-31,85.93,86.75,85.87,86.16,1612600,WYNN,Wynn Resorts
2024-12-30,87.4,87.4,85.24,85.83,2180100,WYNN,Wynn Resorts
2024-12-27,88.66,89.29,88.019997,88.68,1086700,WYNN,Wynn Resorts
2024-12-26,89.010002,89.89,88.42,89.31,1218900,WYNN,Wynn Resorts
2024-12-24,88.13,89.22,87.38,88.78,692800,WYNN,Wynn Resorts
2024-12-23,88.96,89.42,87.76,88.11,1312400,WYNN,Wynn Resorts
2024-12-22,88.96,89.42,87.76,88.11,1312445,WYNN,Wynn Resorts
2024-12-20,88.099998,90.14,88.050003,88.95,2663400,WYNN,Wynn Resorts
2024-12-19,90.62,90.62,87.36,88.31,1736400,WYNN,Wynn Resorts
2024-12-18,91.96,92.95,88.22,88.7,2096000,WYNN,Wynn Resorts
